student_id,student_name,gender,class_id,student_tag,pretest_score,standard_exam_score,process_understanding,variable_selection,modelling_workflow,model_evaluation,engineering_recommendation,report_score,total_experiment_attempts,process_familiarisation_attempts,total_experiment_time,effective_modelling_time,total_inter_attempt_interval,first_practice_score,final_practice_score,best_practice_score,practice_score_gain,practice_gain_ratio,valid_modelling_attempts,engineering_test_score,test_score_gain,test_gain_ratio,instructional_design_condition,reported_model,reported_R2,reported_computation_time,reported_prediction_error,model_revision_rounds,selected_highest_R2_model,mean_practice_time,consecutive_improvement_count,improving_transition_ratio
***,***,F,C1,General,6,95,17,15,16,19,18,85,5,4,70.4333,40,24502,85,85,85,0,0,3,99,14,0.164705882,RA,J,0.9181,4.11,1.47,2,N,13.33333333,1,0.333333333
***,***,M,C1,General,11,100,14,16,18,19,17,84,2,1,48.1667,40,32487,63,63,63,0,0,3,96,33,0.523809524,RA,J,0.9999,4.78,0.06,32,Y,13.33333333,1,0.333333333
***,***,M,C1,General,12,95,14,15,16,17,15,77,5,2,80,68.2833,29124,55,60,60,5,0.090909091,5,92,32,0.533333333,RA,J,0.9999,4.99,0.06,32,Y,13.65666,3,0.6
***,***,F,C1,General,12,98,12,12,15,15,16,70,8,5,122.7333,90.8167,30910,50,47,50,0,0,5,88,38,0.76,RA,J,0.8073,3.14,14.71,3,Y,18.16334,2,0.4
***,***,F,C1,General,9,100,16,14,17,17,18,82,16,7,280.5833,225.65,27730,71,81,91,20,0.281690141,11,99,8,0.087912088,RA,G,0.9605,4.37,1.01,10,Y,20.51363636,3,0.272727273
***,***,F,C1,General,12,100,14,14,17,12,12,69,8,5,132.7333,93.4,28174,68,80,89,21,0.308823529,5,87,-2,-0.02247191,RA,G,0.9578,4.5,0.76,3,Y,18.68,2,0.4
***,***,M,C1,General,11,100,16,15,18,14,17,80,3,0,71.3333,71.3333,24733,53,87,87,34,0.641509434,5,97,10,0.114942529,RA,J,0.9599,4.57,0.74,5,Y,14.26666,3,0.6
***,***,M,C1,General,12,100,17,17,19,12,12,77,3,3,23.7833,0,27904,45,88,90,45,1,2,89,-1,-0.011111111,RA,J,0.9074,1.75,0.84,3,N,0,1,0.5
***,***,M,C1,General,15,100,12,14,15,10,11,62,5,2,40.7,26.4667,31186,52,52,54,2,0.038461538,5,81,27,0.5,RA,G,0.9441,1.36,0.89,7,Y,5.29334,2,0.4
***,***,M,C1,General,12,100,12,12,18,19,17,78,4,2,89.9167,68.3,32300,53,54,54,1,0.018867925,4,89,35,0.648148148,RA,J,0.9042,1.48,1.09,3,Y,17.075,2,0.5
***,***,F,C1,General,12,95,12,11,14,14,14,65,4,3,62.6333,40,31130,86,86,86,0,0,3,81,-5,-0.058139535,RA,G,0.9489,1.47,0.86,4,N,13.33333333,1,0.333333333
***,***,F,C1,General,11,100,15,17,15,16,17,80,5,3,101.2333,80,30535,50,45,50,0,0,4,90,40,0.8,RA,J,0.9559,4.56,0.74,5,Y,20,1,0.25
***,***,F,C1,General,12,100,17,15,18,18,18,86,3,3,30.0667,35,42.6833,62,88,88,26,0.419354839,2,95,7,0.079545455,RA,J,0.9179,4.2,1.5,4,N,17.5,1,0.5
***,***,F,C1,General,10,98,18,16,17,15,14,80,2,2,12.8,39,24.7667,49,87,87,38,0.775510204,2,94,7,0.08045977,RA,J,0.9559,4.71,0.78,8,N,19.5,1,0.5
***,***,F,C1,General,10,99,14,15,10,8,10,57,3,2,51.6,37.1667,1116.7,55,55,55,0,0,3,76,21,0.381818182,RA,G,0.1527,1.41,11.65,4,Y,12.3889,1,0.333333333
***,***,M,C1,General,11,92,8,10,12,10,8,48,2,2,14.17,44,40,61,90,90,29,0.475409836,2,74,-16,-0.177777778,RA,J,0.988,4.57,0.14,2,Y,22,1,0.5
***,***,M,C1,General,6,99,15,14,14,17,15,75,5,1,166.15,160,30536,56,75,75,19,0.339285714,6,90,15,0.2,RA,J,0.9475,4.52,0.84,10,Y,26.66666667,1,0.166666667
***,***,F,C1,General,14,100,9,12,12,18,18,69,2,1,36.1167,29.3833,33439,54,54,54,0,0,3,85,31,0.574074074,RA,J,0.9179,4.2,1.5,3,N,9.794433333,2,0.666666667
***,***,F,C1,General,10,98,12,12,14,18,18,74,3,1,58.4,52.9667,26292,50,79,79,29,0.58,4,88,9,0.113924051,RA,J,0.9449,4.52,0.87,9,N,13.241675,1,0.25
***,***,M,C1,General,11,100,14,17,17,9,12,69,3,1,51.8167,41.7333,29100,57,76,76,19,0.333333333,4,87,11,0.144736842,RA,J,0.9969,4.9,0.88,16,Y,10.433325,2,0.5
***,***,M,C1,General,11,100,15,18,17,18,18,86,4,1,107.55,98.8167,32275,67,83,83,16,0.23880597,5,100,17,0.204819277,RA,J,0.9462,2.57,0.86,3,Y,19.76334,2,0.4
***,***,F,C1,General,12,100,14,10,18,8,8,58,6,4,93.25,61.25,31733,64,60,64,0,0,4,78,14,0.21875,RA,J,0.9999,5.14,0.012,4,Y,15.3125,2,0.5
***,***,F,C1,General,14,100,8,10,15,7,8,48,4,2,76.8167,61.3333,30724,61,66,66,5,0.081967213,4,80,14,0.212121212,RA,J,0.99,5.04,0.012,4,Y,15.333325,1,0.25
***,***,F,C1,General,13,98,5,8,15,12,12,52,4,3,34.5333,10.0333,27397,53,53,53,0,0,3,82,29,0.547169811,RA,G,0.8324,3.96,1.3,3,Y,3.344433333,2,0.666666667
***,***,M,C2,General,17,91,6,8,14,12,12,52,4,3,59.15,33.4333,37844,93,93,93,0,0,3,82,-11,-0.11827957,N,J,0.92,4.17,1.48,4,Y,11.14443333,1,0.333333333
***,***,M,C2,General,10,90,6,8,14,12,12,52,2,2,16.5,35,40,44,61,61,17,0.386363636,2,60,-1,-0.016393443,N,G,0.57,1.18,9.77,1,Y,17.5,1,0.5
***,***,M,C2,General,10,100,15,17,18,10,11,71,3,1,58.1667,52.35,11102,76,73,76,0,0,4,88,12,0.157894737,N,J,0.9173,3.95,1.49,3,N,13.0875,1,0.25
***,***,M,C2,General,12,87,6,8,8,7,6,35,2,2,10.33,40,11789,61,81,89,28,0.459016393,2,90,1,0.011235955,N,J,0.92,4.47,1.49,2,Y,20,1,0.5
***,***,M,C2,General,12,100,12,14,18,18,16,78,2,2,22.7,22,42036,55,88,88,33,0.6,2,84,-4,-0.045454545,N,J,0.9849,5.01,3.64,3,Y,11,1,0.5
***,***,M,C2,General,14,94,5,7,13,12,7,44,3,2,63.7833,40,40,85,85,85,0,0,3,73,-12,-0.141176471,N,G,0.96,0.98,0.28,3,Y,13.33333333,1,0.333333333
***,***,M,C2,General,12,93,8,10,15,10,8,51,2,1,48.65,40,40,93,93,93,0,0,3,82,-11,-0.11827957,N,G,0.92,1.14,3.85,2,Y,13.33333333,1,0.333333333
***,***,M,C2,General,13,100,9,10,18,12,12,61,8,5,159.6,111.85,17524,85,85,85,0,0,5,90,5,0.058823529,N,G,0.9999,1.58,0.15,20,Y,22.37,2,0.4
***,***,M,C2,General,10,100,9,7,15,10,10,51,11,9,137.6833,80,26679,56,55,56,0,0,4,63,7,0.125,N,G,0.9999,1.17,0.15,4,Y,20,1,0.25
***,***,M,C2,General,9,100,8,7,15,10,7,47,4,2,95.9333,80,138.7833,94,94,94,0,0,4,82,-12,-0.127659574,N,G,0.9999,1.28,0.15,20,Y,20,1,0.25
***,***,M,C2,General,11,100,5,6,10,7,5,33,8,6,120.45,80,36740,92,40,92,0,0,4,71,-21,-0.22826087,N,G,0.9204,4.56,0.92,8,N,20,1,0.25
***,***,M,C2,General,9,100,5,6,15,14,7,47,2,1,48.5833,40,12031,93,93,93,0,0,3,79,-14,-0.150537634,N,G,0.951,1.74,0.35,5,N,13.33333333,1,0.333333333
***,***,M,C2,General,10,100,10,8,18,8,10,54,4,2,95.9,80,53.1833,93,93,93,0,0,4,86,-7,-0.075268817,N,J,0.9999,1.17,0.15,32,Y,20,1,0.25
***,***,M,C2,General,12,94,8,8,14,8,7,45,6,5,73.7667,40,40944,92,92,92,0,0,3,77,-15,-0.163043478,N,J,0.9999,1.17,0.15,5,Y,13.33333333,1,0.333333333
***,***,M,C2,General,12,100,9,12,11,7,7,46,6,4,119.2667,80,17770,63,50,63,0,0,4,65,2,0.031746032,N,G,0.9999,1.58,0.15,2,Y,20,1,0.25
***,***,M,C2,General,10,100,10,14,18,10,14,66,18,13,238.5167,158.85,40925,64,79,79,15,0.234375,7,92,13,0.164556962,N,J,0.9999,1.58,0.15,32,Y,22.69285714,5,0.714285714
***,***,M,C2,General,10,100,8,10,12,10,7,47,8,5,132.5167,98.4333,17537,73,69,73,0,0,5,73,0,0,N,J,0.9999,1.58,0.15,4,Y,19.68666,2,0.4
***,***,M,C2,General,9,93,6,8,13,6,6,39,2,1,40.3167,30.4667,30.4667,87,87,87,0,0,3,71,-16,-0.183908046,N,J,0.8452,3.59,5.58,3,Y,10.15556667,1,0.333333333
***,***,M,C2,General,9,99,8,10,9,10,10,47,2,1,42.1333,32.8333,32.8333,93,93,93,0,0,3,79,-14,-0.150537634,N,J,0.9999,1.58,0.15,3,Y,10.94443333,1,0.333333333
***,***,F,C2,ethnic minorities for both parents,8,98,12,14,15,14,12,67,22,15,383.1,228.05,38399,64,82,92,28,0.4375,9,97,5,0.054347826,N,J,0.9999,1.58,0.15,5,Y,25.33888889,4,0.444444444
***,***,F,C2,General,8,99,14,15,20,12,14,75,18,13,267.35,184.7667,36863,80,91,91,11,0.1375,7,94,3,0.032967033,N,J,0.9997,5.74,0.25,4,Y,26.39524286,4,0.571428571
***,***,F,C2,General,8,96,8,12,18,10,12,60,5,1,100.2333,91.4667,42413,91,62,91,0,0,6,87,-4,-0.043956044,N,J,0.9981,5.99,0.15,6,Y,15.24445,1,0.166666667
***,***,F,C2,Ethnic minority student,8,100,12,14,16,11,10,63,2,1,50.8333,40,40,86,86,86,0,0,3,85,-1,-0.011627907,N,G,0.92,0.87,1.87,3,Y,13.33333333,1,0.333333333
***,***,F,C2,ethnic minorities for both parents,10,99,10,13,20,10,12,65,9,4,135.35,105.7333,40076,74,51,79,5,0.067567568,7,92,13,0.164556962,N,G,0.9501,1.63,0.87,16,Y,15.10475714,2,0.285714286
***,***,F,C2,General,10,93,10,8,12,10,8,48,2,1,47.1667,33.9,33.9,86,86,86,0,0,3,78,-8,-0.093023256,N,G,0.71,0.88,4.78,3,Y,11.3,1,0.333333333
***,***,F,C2,General,12,95,8,8,14,8,10,48,3,2,55.2333,40,11941,88,88,88,0,0,3,77,-11,-0.125,N,J,0.9634,4.11,4.1,2,Y,13.33333333,1,0.333333333
***,***,M,C2,Ethnic minority student,11,98,12,10,15,15,12,64,2,1,15.4,7.8667,39.4,79,79,79,0,0,3,83,4,0.050632911,N,J,0.9999,6.11,0.04,3,Y,2.622233333,1,0.333333333
***,***,M,C2,General,10,94,10,15,20,10,14,69,2,1,30.9667,18.1167,20447,80,80,80,0,0,3,84,4,0.05,N,J,0.9988,5.117,0.02,11,Y,6.0389,1,0.333333333
***,***,M,C2,General,12,87,9,12,14,16,14,65,4,4,46.6,19.55,16239,62,78,78,16,0.258064516,2,77,-1,-0.012820513,N,J,0.97,3.95,2.74,3,Y,9.775,1,0.5
***,***,M,C2,Ethnic minority student,10,100,8,8,16,8,12,52,2,1,18.8,11.0167,24.45,86,86,86,0,0,3,79,-7,-0.081395349,N,J,0.9999,6.14,0.015,4,Y,3.672233333,1,0.333333333
***,***,M,C2,General,9,100,17,14,17,18,18,84,4,2,97.15,80,16510,82,57,82,0,0,4,82,0,0,N,G,0.909,2.75,1.64,3,N,20,1,0.25
***,***,M,C2,General,9,100,5,7,14,10,6,42,4,2,45.7,28.5667,47.7333,82,67,82,0,0,4,72,-10,-0.12195122,N,J,0.9999,5.57,0.015,2,Y,7.141675,1,0.25
***,***,F,C2,ethnic minorities for both parents,11,99,8,6,14,8,8,44,12,8,215,151.0167,41097,83,83,83,0,0,6,78,-5,-0.060240964,N,J,0.8581,4.77,1.38,3,Y,25.16945,1,0.166666667
***,***,F,C3,General,11,95,15,15,18,15,18,81,1,0,40,40,40,80,80,80,0,0,3,87,7,0.0875,A,J,0.9136,4.08,1.52,3,N,13.33333333,1,0.333333333
***,***,F,C3,General,13,99,6,6,12,10,10,44,3,2,30.2,15.1333,40.9167,78,78,78,0,0,3,68,-10,-0.128205128,A,G,0.7774,1.06,3.37,2,Y,5.044433333,1,0.333333333
***,***,F,C3,General,9,92,10,12,15,15,11,63,4,1,67.45,61.4833,140.7833,63,82,82,19,0.301587302,5,87,5,0.06097561,A,G,0.9982,1.42,1.21,2,Y,12.29666,1,0.2
***,***,M,C3,General,10,95,10,8,16,18,14,66,3,1,25.3333,19.3833,82.4333,82,80,82,0,0,4,83,1,0.012195122,A,G,0.909,2.15,1.64,3,N,4.845825,3,0.75
***,***,M,C3,Ethnic minority student,5,100,8,15,14,12,11,60,5,2,62.3333,36.5,19954,59,57,59,0,0,5,74,15,0.254237288,A,G,0.82,1.14,5.77,4,Y,7.3,1,0.2
***,***,M,C3,General,8,100,8,12,16,10,12,58,4,3,56.2167,28.8833,97.9667,66,66,66,0,0,3,71,5,0.075757576,A,J,0.998,5.41,0.78,4,Y,9.627766667,1,0.333333333
***,***,M,C3,General,9,100,8,14,16,12,14,64,1,0,40,40,40,84,84,84,0,0,3,87,3,0.035714286,A,J,0.9969,8.12,1.78,4,Y,13.33333333,1,0.333333333
***,***,M,C3,General,12,86,10,10,14,10,16,60,1,1,8.45,40,8.45,51,77,77,26,0.509803922,2,71,-6,-0.077922078,A,G,0.8469,1.1,3.99,4,Y,20,1,0.5
***,***,M,C3,General,10,100,12,15,14,12,14,67,2,1,37.8333,30.1333,63.85,83,83,83,0,0,3,88,5,0.060240964,A,J,0.909,2.75,1.64,2,N,10.04443333,1,0.333333333
